no_of_client,avg_response_time,overall_throughput
1,1.500000,.400000
2,2.000000,.685714
3,2.666666,.841269
4,3.875000,.838888
5,4.900000,.876067
6,5.181818,.881298
7,5.166666,.917127
8,6.000000,.926852
9,6.153846,.930694
10,6.230769,.919583
11,5.923076,.903710
12,6.000000,.963566
13,6.307692,.951143
14,6.384615,.930694
15,6.000000,.963566
16,5.461538,.863689
17,5.923076,.969414
18,6.384615,.923341
19,5.307692,.915053
20,5.769230,.913906
21,6.076923,.969758
22,6.461538,.933618
23,5.923076,.920316
24,5.923076,.920316
25,5.538461,.893685
26,5.307692,.919508
27,5.769230,.992899
28,7.133333,.975260
29,5.923076,.935943
30,5.461538,.945467
31,5.769230,.836770
32,6.307692,.941976
33,5.769230,.944905
34,6.769230,.890879
35,6.000000,.965738
36,6.153846,.963566
37,6.307692,.941976
38,5.769230,.935943
39,6.550000,1.109381
40,6.153846,.941683
41,6.538461,.854836
42,6.307692,.926265
43,5.230769,.930680
44,5.857142,.882408
45,6.384615,.926265
46,5.384615,.902205
47,6.076923,.944951
48,6.740740,1.081327
49,6.153846,.877784
50,5.923076,.873512
