$numOfClient,$avgResponseTime,$overall_throughput,$overall_request_rate,$overall_error_rate,$overall_timeout_rate,$request_rate_sent,$active_threads,$cpu_utilization
1,.66,.60,.60,0,0,.60,1.00,2.75
2,1.00,1.00,1.00,0,0,1.00,2.60,11.00
3,1.00,1.50,1.50,0,0,1.50,2.33,12.33
4,1.00,2.00,2.00,0,0,2.00,2.00,28.00
5,1.33,2.10,2.10,0,0,2.10,4.33,27.77
6,1.33,2.52,2.52,0,0,2.52,2.50,20.11
7,1.33,2.94,2.94,0,0,2.94,6.00,30.42
8,1.66,2.96,2.96,0,0,2.96,5.00,37.33
9,1.92,2.97,2.97,0,0,2.97,6.66,44.00
10,2.00,3.30,3.30,0,0,3.30,6.27,54.90
11,2.33,3.30,3.30,0,0,3.30,6.63,47.72
12,2.33,3.60,3.60,0,0,3.60,6.45,58.27
13,2.66,3.51,3.51,0,0,3.51,7.63,69.36
14,3.23,3.23,3.50,0,.24,3.47,11.42,55.85
15,3.91,3.25,3.75,0,.88,4.13,9.73,46.73
16,5.48,3.30,3.68,0,1.39,4.69,11.69,58.07
17,5.57,3.52,4.25,0,1.44,4.96,13.07,74.30
18,7.25,3.45,4.38,0,2.55,4.80,17.41,72.53
19,6.33,3.44,4.67,0,2.50,5.94,15.11,63.76
20,11.00,3.34,4.44,0,2.50,5.98,18.64,78.00
